session,unit,category,hemisphere,rf,ssd,ssrt,coherence,easyHard,nStop,pValue40msStopStop,cancelTime2Std,cancelTimeSdf,targToStopDiffSD,preSaccDiffSD
bp243n02,spikeUnit16,ddm_cancel,left,right,233,93,0.58,1,11,0.179734954722847,13,-75,-0.652544207117181,-22.3758409271113
bp243n02,spikeUnit16,ddm_cancel,left,right,523,93,0.53,2,12,0.759931244097875,NaN,NaN,-0.270645857992232,-4.69093444967092
bp243n02,spikeUnit16,ddm_cancel,left,right,379,93,0.53,2,19,0.13272356256797,32,-55,-0.376177341445203,-3.07700365253356
bp243n02,spikeUnit16,ddm_cancel,left,right,379,93,0.58,1,26,0.926564774736918,NaN,NaN,0.142889727202237,-5.20443209734799
bp243n02,spikeUnit16,ddm_cancel,left,right,89,93,0.58,1,27,0.203399192434915,NaN,NaN,-0.831924484091392,-11.9593702794165
bp243n02,spikeUnit16,ddm_cancel,left,right,233,93,0.53,2,33,0.304331776222021,13,-82,-1.0282785150723,-5.0514047318977
bp244n02,spikeUnit26,ddm_cancel,left,right,233,61,0.58,1,10,0.215135171531545,17,-3,0.316157310815528,-7.91216383984211
bp244n02,spikeUnit26,ddm_cancel,left,right,378,61,0.53,2,15,0.410481698843384,15,-7,-0.180310567219297,-11.3959199853967
bp244n02,spikeUnit26,ddm_cancel,left,right,233,61,0.53,2,23,0.0172808668824554,-29,-49,-1.47464614974134,-9.81891081200934
bp244n02,spikeUnit26,ddm_cancel,left,right,87,61,0.58,1,24,0.610573729872515,218,NaN,0.881173848929129,-8.38599302245815
bp244n02,spikeUnit26,ddm_cancel,left,right,378,61,0.58,1,38,0.180823781448635,12,14,-0.0985369467422768,-10.8096363984383
bp244n02,spikeUnit27,ddm_cancel,left,right,233,61,0.58,1,10,0.00175238958883782,-61,-1,-0.153701649328931,-25.7603586955343
bp244n02,spikeUnit27,ddm_cancel,left,right,378,61,0.53,2,15,0.00782417199566533,-61,4,0.243967688426011,-30.2406894085709
bp244n02,spikeUnit27,ddm_cancel,left,right,233,61,0.53,2,23,0.00533741476614825,-36,-27,0.0504858000490965,-37.2452354158585
bp244n02,spikeUnit27,ddm_cancel,left,right,87,61,0.58,1,24,0.054309881500597,13,113,0.526253655069508,-26.4151950216135
bp244n02,spikeUnit27,ddm_cancel,left,right,378,61,0.58,1,38,0.780971151007191,10,NaN,-0.39114426505177,-17.2121069214597
bp246n02,spikeUnit29,ddm_cancel,left,right,231,54,0.58,1,13,0.00483755087754046,-23,-27,-0.355283510265985,-9.61469293993557
bp246n02,spikeUnit29,ddm_cancel,left,right,378,54,0.53,2,18,0.146101076139339,133,-27,-0.234416065104577,-5.821048984333
bp246n02,spikeUnit29,ddm_cancel,left,right,523,54,0.53,2,33,0.939830486342014,32,-52,-0.256665268601816,-5.37122096654975
bp246n02,spikeUnit29,ddm_cancel,left,right,378,54,0.58,1,36,0.10388602547777,-33,-48,-0.196833025783853,-6.39562682101357
bp246n02,spikeUnit30,ddm_cancel,left,right,231,54,0.58,1,13,0.814962932226145,131,NaN,-0.432604173876145,-4.76416910174422
bp246n02,spikeUnit30,ddm_cancel,left,right,378,54,0.53,2,18,0.714296491923899,NaN,-30,-0.312960126924482,-1.52890320588666
bp246n02,spikeUnit30,ddm_cancel,left,right,523,54,0.53,2,33,0.519500354307099,NaN,NaN,-0.406752817981774,-3.12438218385826
bp246n02,spikeUnit30,ddm_cancel,left,right,378,54,0.58,1,36,0.586074365314502,NaN,NaN,0.395219588035682,-1.52097056099756
bp247n02,spikeUnit12,ddm_cancel,left,right,232,55,0.58,1,10,0.0452329091563843,43,12,-0.0487203844603973,-10.2765252630909
bp247n02,spikeUnit12,ddm_cancel,left,right,378,55,0.53,2,12,0.0637337799349138,7,-12,0.39336900470474,-6.94976993129013
bp247n02,spikeUnit12,ddm_cancel,left,right,232,55,0.53,2,13,0.220904261091792,42,-7,-0.204939250240659,-11.812072476274
bp247n02,spikeUnit12,ddm_cancel,left,right,87,55,0.58,1,17,0.782603598320739,61,74,-1.90230150713406,-11.5312026272912
bp247n02,spikeUnit12,ddm_cancel,left,right,378,55,0.58,1,24,0.736183641390472,NaN,NaN,-0.0478940443190899,-9.85000346775593
bp247n02,spikeUnit12,ddm_cancel,left,right,522,55,0.53,2,42,0.0556947176486272,-55,13,0.276629241697394,-5.64053179931398
bp090n02,spikeUnit17,noddm_cancel,right,left,44,68,0.41,1,11,0.65167472475137,41,32,-0.154122269057731,-24.1427677721971
bp090n02,spikeUnit17,noddm_cancel,right,left,116,68,0.47,2,12,0.119690702670326,22,-20,-0.518669624197683,-16.1970558799386
bp090n02,spikeUnit17,noddm_cancel,right,left,44,68,0.47,2,13,0.342141216220125,45,83,-1.52199857540571,-5.86461021164414
bp121n02-pm,spikeUnit17,noddm_cancel,left,left,157,78,0.46,2,11,0.955236602420939,NaN,NaN,1.37212256117566,-6.77660601605219
bp121n02-pm,spikeUnit17,noddm_cancel,left,left,157,78,0.43,NaN,13,0.413940023855186,NaN,-38,0.770056711695906,0.511344550639348
bp121n02-pm,spikeUnit17,noddm_cancel,left,left,157,78,0.4,1,17,0.755561169200269,29,15,0.528432825982034,-0.10420927277404
bp126n02-pm,spikeUnit17,noddm_cancel,right,left,200,62,0.43,NaN,11,0.762387927790543,89,NaN,0.0845079460297666,-36.909844734869
bp126n02-pm,spikeUnit17,noddm_cancel,right,left,158,62,0.43,NaN,13,0.617491432109336,82,NaN,0.261021105593781,-62.0140216074208
bp126n02-pm,spikeUnit17,noddm_cancel,right,left,158,62,0.4,1,16,0.915249511547154,73,-40,-0.00797657914817482,-62.8232597593368
bp126n02-pm,spikeUnit17,noddm_cancel,right,left,158,62,0.46,2,17,0.964330063203833,29,-53,1.05059794871615,-46.8036207387651
bp126n02-pm,spikeUnit17,noddm_cancel,right,left,200,62,0.46,2,18,0.840416379888082,40,NaN,1.05524443661359,-43.1897400295278
bp126n02-pm,spikeUnit17,noddm_cancel,right,left,200,62,0.4,1,18,0.622421564628445,136,NaN,0.57055455658084,-45.8189847235717
bp158n02-pm,spikeUnit17,noddm_cancel,right,right,144,80,0.53,2,12,0.988111239615492,117,NaN,-0.191693808783702,-21.0634602151633
bp158n02-pm,spikeUnit17,noddm_cancel,right,right,144,80,0.56,NaN,12,0.0830643431584953,3,-18,-1.34624416469634,-28.3901013970101
bp158n02-pm,spikeUnit17,noddm_cancel,right,right,243,80,0.53,2,12,0.339428070373814,NaN,NaN,0.149302194174687,-15.1963898673609
bp158n02-pm,spikeUnit17,noddm_cancel,right,right,144,80,0.6,1,19,0.740854944628782,157,NaN,-0.563220616440285,-34.2332311245819
bp158n02-pm,spikeUnit17,noddm_cancel,right,right,44,80,0.6,1,21,0.426731061394206,NaN,NaN,-7.1699218263066,-55.6089694556328
bp163n02-01,spikeUnit17,noddm_cancel,right,left,158,71,0.43,1,20,0.0928408603985026,226,-64,-0.0428421657974097,0.919764897028397
bp163n02-01,spikeUnit17,noddm_cancel,right,left,158,71,0.47,2,25,0.936494462904532,174,NaN,0.828225966981342,-4.78213505272469
bp163n02-01,spikeUnit17,noddm_cancel,right,left,273,71,0.47,2,26,0.573024334419459,183,NaN,-0.0436249496482907,3.52689871189182
bp200n02,spikeUnit09,noddm_cancel,right,left,230,89,0.45,2,20,0.583283002975965,101,NaN,2.42418493038341,-11.3977356206413
bp200n02,spikeUnit09,noddm_cancel,right,left,230,89,0.42,1,22,0.560486915728019,48,-36,3.33778405927143,-4.35920970071964
bp200n02,spikeUnit09,noddm_cancel,right,left,89,89,0.42,1,29,0.0167403614978698,174,76,1.88930030481545,-7.51882580689019
bp200n02,spikeUnit09,noddm_cancel,right,left,89,89,0.45,2,42,0.436948835289007,84,NaN,3.19831455500006,-12.1749281815839
bp222n02,spikeUnit06,noddm_cancel,left,right,232,66,0.53,2,21,0.171350615683638,51,8,0.85780114272754,-3.25821543821844
bp222n02,spikeUnit06,noddm_cancel,left,right,232,66,0.58,1,22,0.626197178461854,63,35,0.189255034539951,-6.45505965981431
bp222n02,spikeUnit06,noddm_cancel,left,right,379,66,0.53,2,26,0.0746993357226794,182,NaN,0.228563820172166,-2.31766089498799
bp222n02,spikeUnit06,noddm_cancel,left,right,88,66,0.58,1,31,0.154657975256987,77,NaN,-0.344077920960613,-9.38783588367454
bp228n02,spikeUnit13,noddm_cancel,left,left,378,65,0.42,1,11,0.648326249168135,24,-3,-0.171812904801195,-30.2255014834266
bp228n02,spikeUnit13,noddm_cancel,left,left,378,65,0.47,2,14,0.00919760467662473,-4,-30,-0.461630706541898,-9.43381716380886
bp228n02,spikeUnit13,noddm_cancel,left,left,232,65,0.47,2,16,0.673957094782789,46,NaN,-0.438846088162824,-8.05736889772406
bp228n02,spikeUnit13,noddm_cancel,left,left,232,65,0.42,1,33,0.675180602753837,26,NaN,-0.335939790722123,-26.223251886975
bp228n02,spikeUnit13,noddm_cancel,left,left,521,65,0.47,2,35,0.49570845902366,40,NaN,-0.577259478593413,-9.6447031598431
bp228n02,spikeUnit30,noddm_cancel,left,left,378,65,0.42,1,11,0.404143321869498,85,83,-2.63391206200499,-2.46727465903962
bp228n02,spikeUnit30,noddm_cancel,left,left,378,65,0.47,2,14,0.684411666665676,NaN,NaN,0.323751189147786,-1.73608571832518
bp228n02,spikeUnit30,noddm_cancel,left,left,232,65,0.47,2,16,0.0449836525604108,-8,-48,1.53988467835154,-2.0823689724909
bp228n02,spikeUnit30,noddm_cancel,left,left,232,65,0.42,1,33,0.846608781331176,-65,NaN,-1.35891608894169,-1.99858508972786
bp228n02,spikeUnit30,noddm_cancel,left,left,521,65,0.47,2,35,0.379614947530836,NaN,-57,0.0841607730338423,-1.98751435704971
bp229n02-mm,spikeUnit14,noddm_cancel,left,right,89,54,0.58,1,20,0.114667520607206,NaN,-38,0.180812675477241,-7.58703771947501
bp229n02-mm,spikeUnit14,noddm_cancel,left,right,233,54,0.58,1,25,0.329590835772076,NaN,-15,0.409366341653816,-5.01606200724908
bp229n02-mm,spikeUnit14,noddm_cancel,left,right,377,54,0.53,2,35,0.457865725957148,NaN,NaN,-0.555787990202159,-8.77722185519589
bp229n02-mm,spikeUnit14,noddm_cancel,left,right,233,54,0.53,2,38,0.564593934214161,NaN,NaN,-0.311692297112373,2.30974528581189
bp230n02-mm,spikeUnit25,noddm_cancel,left,right,232,98,0.58,1,11,0.237289572673724,3,-73,-0.366157815668683,-8.67694323176265
bp230n02-mm,spikeUnit25,noddm_cancel,left,right,232,98,0.53,2,13,0.245686373863679,NaN,-42,-0.91003934552626,-9.6667132477946
bp230n02-mm,spikeUnit25,noddm_cancel,left,right,378,98,0.53,2,21,0.290764487469536,NaN,-4,-0.662753958243978,-5.55919908051317
bp230n02-mm,spikeUnit25,noddm_cancel,left,right,88,98,0.58,1,29,0.0335082887043241,-3,-48,-0.200142034985684,-19.1630444211204
bp230n02-mm,spikeUnit25,noddm_cancel,left,right,378,98,0.58,1,34,0.223182561854049,NaN,NaN,-0.586138914326526,-1.68548085276875
bp232n02-mm,spikeUnit03,noddm_cancel,left,right,235,78,0.53,2,13,0.432710230955599,NaN,NaN,0.406003468409737,-5.26443785697003
bp232n02-mm,spikeUnit03,noddm_cancel,left,right,92,78,0.58,1,20,0.941980640054751,NaN,NaN,0.696519316366405,-6.37502841483178
bp232n02-mm,spikeUnit03,noddm_cancel,left,right,235,78,0.58,1,28,0.393051220743669,NaN,NaN,0.661605690495762,-6.56651706580293
bp232n02-mm,spikeUnit03,noddm_cancel,left,right,380,78,0.53,2,38,0.00595342866011338,7,-12,0.789449112060116,-4.51851461393991
