sessionID,unit,rf,ssd,ssrt,coherence,easyHard,cancelTime
bp244n02,spikeUnit27,right,233,59,0.53,2,-34
bp244n02,spikeUnit27,right,87,59,0.58,1,15
bp244n02,spikeUnit27,right,378,59,0.58,1,16
bp244n02,spikeUnit28,right,233,59,0.58,1,NaN
bp244n02,spikeUnit28,right,378,59,0.53,2,NaN
bp244n02,spikeUnit28,right,233,59,0.53,2,NaN
bp244n02,spikeUnit28,right,87,59,0.58,1,NaN
bp244n02,spikeUnit28,right,378,59,0.58,1,NaN
bp245n02,spikeUnit28,right,232,67,0.58,1,NaN
bp245n02,spikeUnit28,right,378,67,0.53,2,NaN
bp245n02,spikeUnit28,right,232,67,0.53,2,NaN
bp245n02,spikeUnit28,right,87,67,0.58,1,NaN
bp245n02,spikeUnit28,right,523,67,0.53,2,NaN
bp246n02,spikeUnit29,right,231,51,0.58,1,-20
bp246n02,spikeUnit29,right,378,51,0.53,2,136
bp246n02,spikeUnit29,right,523,51,0.53,2,36
bp246n02,spikeUnit29,right,378,51,0.58,1,-31
bp246n02,spikeUnit30,right,231,51,0.58,1,134
bp246n02,spikeUnit30,right,378,51,0.53,2,NaN
bp246n02,spikeUnit30,right,523,51,0.53,2,NaN
bp246n02,spikeUnit30,right,378,51,0.58,1,NaN
bp247n02,spikeUnit12,right,232,49,0.58,1,17
bp247n02,spikeUnit12,right,378,49,0.53,2,13
bp247n02,spikeUnit12,right,232,49,0.53,2,48
bp247n02,spikeUnit12,right,87,49,0.58,1,67
bp247n02,spikeUnit12,right,378,49,0.58,1,NaN
bp247n02,spikeUnit12,right,522,49,0.53,2,-49
bp247n02,spikeUnit16,left,378,49,0.42,1,-10
bp247n02,spikeUnit16,left,378,49,0.47,2,-49
bp247n02,spikeUnit16,left,522,49,0.47,2,44
bp247n02,spikeUnit16,left,522,49,0.42,1,26
bp247n02,spikeUnit29,right,232,49,0.58,1,86
bp247n02,spikeUnit29,right,378,49,0.53,2,NaN
bp247n02,spikeUnit29,right,232,49,0.53,2,NaN
bp247n02,spikeUnit29,right,87,49,0.58,1,94
bp247n02,spikeUnit29,right,378,49,0.58,1,NaN
bp247n02,spikeUnit29,right,522,49,0.53,2,NaN
bp247n02,spikeUnit30,right,232,49,0.58,1,34
bp247n02,spikeUnit30,right,378,49,0.53,2,NaN
bp247n02,spikeUnit30,right,232,49,0.53,2,NaN
bp247n02,spikeUnit30,right,87,49,0.58,1,NaN
bp247n02,spikeUnit30,right,378,49,0.58,1,NaN
bp247n02,spikeUnit30,right,522,49,0.53,2,9
bp247n02,spikeUnit31,right,232,49,0.58,1,214
bp247n02,spikeUnit31,right,378,49,0.53,2,2
bp247n02,spikeUnit31,right,232,49,0.53,2,NaN
bp247n02,spikeUnit31,right,87,49,0.58,1,166
bp247n02,spikeUnit31,right,378,49,0.58,1,NaN
bp247n02,spikeUnit31,right,522,49,0.53,2,-49
